address,eth_balance,total_txs,sent_txs,received_txs,sent_to_contract_txs,received_from_contract_txs,external_txs,internal_txs
0x000b273a071ab81e0e81564a32cc6a7ac8bea29d,2.629456641e-06,1,1,0,0,0,1,0
0x000c004fa55e463f6f7725049752134cdc3fa31d,0.006174516312393725,1,1,0,0,0,1,0
0x000d4411cdeb152378626b5c5e33fd5d6808939a,0.0,5,0,5,0,0,5,0
0x000e20a2eefa97815f3f5057fcd8920acf1ae0de,77.63056930928822,1,1,0,1,0,1,0
0x000f9764a2c9345df184d19a2cb935a0857af000,0.06624514864402004,5,5,0,5,0,5,0
0x00126e1aceca851051e0f63b9543fee3e1433db4,16.126461107627435,1,0,1,0,0,1,0
0x001359f88b63acf76468f6ed0781b4b26a8b33ed,0.0,4,0,4,0,0,4,0
0x0016183a6dbb3fe736055a62a77330dcf76fe6f3,1.13560734e-07,1,1,0,0,0,1,0
0x0016a464920f36b69d1f7f60f392b2e93eea953f,39.04641717526147,1,0,1,0,0,1,0
0x0016b6bacd56a0d1dafda52d06b7efe65aa0816a,10.112825202220856,1,1,0,1,0,1,0
0x0019b82cc11318b6961bf1e3bd0911ebc3397895,5.317266276e-06,2,1,1,0,0,2,0
0x001be1b11d6c088fec4a518cc28b23c779d2d312,9.8297130851871e-05,1,1,0,0,0,1,0
0x001d6458723393057a9c5514e5334d3d6452f2b5,0.0,1,1,0,0,0,1,0
0x0021053b73a20cb418d0458f543ac3e46d24137e,0.0,2,0,2,0,0,2,0
0x00228b1ae2e89494f144729e4a9d09ce9f88f8bb,1.3051601716675e-05,1,0,1,0,0,1,0
0x002b0c52aae06de77ea2dd76b01470701fa55ca7,0.02975843870817766,3,3,0,3,0,3,0
0x002c2fcb2f659f9f3faed87e7c3e3edf34dcad64,5.2061272552436e-05,4,4,0,3,0,4,0
0x002d44f11be4a586d9ae7c2a406d99b0837b4bbf,0.0,1,0,1,0,0,1,0
0x002dde460b964ba7eb914c91814463b15e80acff,0.0,1,0,1,0,0,1,0
0x002e17eb2cc2f4775c5ad35c96234a1abd25947b,0.007933411731985664,1,1,0,1,0,1,0
0x003056e3747002e7ac435bf849bff05e43da9890,8.1500475e-08,1,1,0,0,0,1,0
0x003a1ee15f0f614aab9bb46c7465e217cd9d2705,2.596096524e-06,1,1,0,0,0,1,0
0x003ca15f4cae1c64b05ddd0bbb297a93d218eb09,5.728685400556e-06,1,1,0,0,0,1,0
0x003e47d9781da0f8b952e07f82b719725f2fa025,0.05472531263767863,1,1,0,1,0,1,0
0x00405c85562607734c6b7685d45cc236475600c2,2.785344534e-06,2,1,1,0,0,2,0
0x0042d03ce490906a52c10eab30475abe6ec81ab0,0.017952315878046,1,1,0,0,0,1,0
0x004395edb43efca9885cedad51ec9faf93bd34ac,0.0,7,0,7,0,0,7,0
0x00451f9f7a5dfd0514b22b81e9880dbacdc85f7a,0.001,1,0,1,0,0,1,0
0x004536eae05257b7945ede3f31e484db8fbfc82d,3.20412799e-10,1,1,0,0,0,1,0
0x004e9c3ef86bc1ca1f0bb5c7662861ee93350568,0.0,2,0,2,0,0,2,0
0x004f1e106dba9d82c97c5d4a0d7aff86bfa30ac0,0.0,1,1,0,0,0,1,0
0x005355f74d5b7fda8dab1917bcf0c1c71e087b6c,6.8879083818465e-05,1,1,0,1,0,1,0
0x005421b04b9890068b0bebb84bc0d20b45df2348,3.60322536e-07,1,0,1,0,0,1,0
0x005969bf0ecbf6edb6c47e5e94693b1c3651be97,0.0,2,0,2,0,0,2,0
0x005dd77690dab810920088a20074ba8357cbdae1,0.0,1,1,0,0,0,1,0
0x005e6fd1610302018dcd9caf29b8bc38ff6efd98,0.0,6,0,6,0,0,6,0
0x0065b000f181aaf92382b640ef642677a6c4e58a,2.564447046e-06,2,1,1,0,0,2,0
0x0067ecffd34f47d33cb14c67517c9d98a5f9bf77,2.66015043e-06,1,1,0,0,0,1,0
0x006874afa319b0fdb96857ea89695f0e681940bd,3.116536248e-06,1,1,0,0,0,1,0
0x0069dd4addacadda17e6dba484687d81bd2969c0,1e-06,1,0,1,0,0,1,0
0x006cd231f38624db0c2d555e1a8ca27448d43cc4,0.0,1,0,1,0,0,1,0
0x006eb327bd28fdf8bf77efd735151ea40a8c13e1,0.16394229630520998,1,1,0,0,0,1,0
0x00700017d400c1000600445975406d0508444192,2.6473404525210587,1,1,0,1,0,1,0
0x0070b395198ccb104c3418166a4456eebf2e7748,6.090494915232e-05,1,1,0,1,0,1,0
0x0070dd038ee282e9940b259a5e3a994f3b426868,1.129431576e-06,1,1,0,0,0,1,0
0x0072e78a390f8b396189dc25b119bcc770f46679,0.01028533610243692,1,1,0,1,0,1,0
0x00740a2343c84535642c6bf7b5fcc83c4f519139,0.005864173242378498,1,1,0,1,0,1,0
0x007849db50341e18acee281c9a970a183c6c7e62,19.55117921122407,1,1,0,1,0,1,0
0x007a643c01a0fdf4e7654363a78f5aecc9225779,0.0,1,1,0,0,0,1,0
0x007af42f2bb7ac58c96dcc6d9455b8fde0c954ba,0.5825504894650964,3,1,2,0,0,3,0
0x007dc5413800240c48d741a530336a1e0fe0a5fa,0.010691470626985104,1,1,0,1,0,1,0
0x007ef622a7d60fdf2e60d904ab493f21b62d9335,0.0,2,1,1,0,0,2,0
0x00813171c62e2e1667b8cf377249707ff34cf3fa,0.11909769062791667,1,0,1,0,0,1,0
0x008199dc5bb0fcc8872b2dc76960238eb5e7dade,0.0,3,3,0,3,0,3,0
0x0081c7d7ecdec385e0b08d5aa541e830d8b6bb9a,0.01398346216968267,1,0,1,0,0,1,0
0x00824ed01ee6483f3c3cd5a7ae8e7ffe0fce7ea9,0.001520677097199296,1,1,0,1,0,1,0
0x00827591a0970712fa0ec1171cf674b4e24de589,0.16962110419511242,1,1,0,1,0,1,0
0x0083101bccb42e0cfbf347a4d56b6f8a5564170d,0.004810577709498875,1,1,0,0,0,1,0
0x00835ff4ca86eb0a686ee581e4ac2cc150e238b2,3.271785993e-06,4,2,2,0,0,4,0
0x0084dfd7202e5f5c0c8be83503a492837ca3e95e,59.412998956378246,2,2,0,2,0,2,0
0x0084eed56ea1e86a3210222ee7f38cceb4a4d8b7,2.815307166e-06,2,1,1,0,0,2,0
0x0087b1c63df5f33d3c7b5b3839049e340afb732a,21.110717734196477,1,1,0,1,0,1,0
0x0089af2996b9fc08fb1e143fa7c9630595a5d545,0.0,2,0,2,0,0,2,0
0x0089dc64675ab4a7c1133950d074eccd413f7780,0.00247799,1,0,1,0,0,1,0
0x008a7f8b8705f4941f6bad7179944ffede40e5d9,1.4885737840471593,2,2,0,2,0,2,0
0x008b73a1f878ebf5e8c1883c627c3e4a6d461f5d,9.717658521e-06,1,1,0,0,0,1,0
0x008c1a93c6afae36c771b0fe131034054c27b78c,0.0,5,4,1,0,0,5,0
0x008dc74cecc9deda8595b2fe210ce5979f0bfa8e,0.0,4,0,4,0,0,4,0
0x008e560f9828d3169d3477027c07d7089e6ba671,0.030898844558063965,1,1,0,1,0,1,0
0x00932b23fb660c607ed7f8a29cbc6f6e94788000,0.16029453319399575,22,22,0,22,0,22,0
0x0099095278c6ee902c630ab82765ef52f1b13fcd,37.24692836901093,2,0,2,0,0,2,0
0x0099ea54194659540f26f4a8b911a1d9edaa3fcd,1.846597067e-08,2,2,0,0,0,2,0
0x009e1d3efa8a65d85246999e5c4f920e718c0b90,0.000241648265235896,1,1,0,1,0,1,0
0x009e55879a79a5e2afa7bc2afe923d8e5e43fe3e,0.0,1,0,1,0,0,1,0
0x009ff94a057c75f661e3e28f89b9b9d84e57fc67,0.007994956056207961,3,2,1,2,0,3,0
0x00a1679c1907671311919944909d9acc57cd34dc,0.0,3,2,1,1,0,3,0
0x00a2913501c4b09b92b825dc8a2937efdad9953b,2.104361794582923,21,21,0,21,0,21,0
0x00a71f4b836051dfae83f43eb09d5d4b85ae03d5,0.000813298242949295,1,0,1,0,0,1,0
0x00a7a8fdb9a61f85dd8f926f4e1723927a18c9f3,0.0,1,0,1,0,0,1,0
